age,sex,mode,type,total,exp,prop
[a35],[male],[car],[a35]-[male]-[car],19056,15098.20188,1.262137051
[a25],[male],[car],[a25]-[male]-[car],16931,16830.94437,1.005944742
[a25],[female],[car],[a25]-[female]-[car],14303,14641.26331,0.976896576
[a35],[female],[car],[a35]-[female]-[car],14265,13133.94806,1.086116675
[a50],[male],[car],[a50]-[male]-[car],10486,7853.169448,1.335257067
[a25],[female],[bus],[a25]-[female]-[bus],7864,7435.528037,1.057624954
[a25],[male],[bus],[a25]-[male]-[bus],7825,8547.55195,0.915466796
[a16],[female],[bus],[a16]-[female]-[bus],7612,3811.597481,1.997062921
[a50],[female],[car],[a50]-[female]-[car],6604,6831.483675,0.966700693
[a35],[female],[bus],[a35]-[female]-[bus],6085,6670.041851,0.912288129
[a25],[male],[walk],[a25]-[male]-[walk],5938,5378.368355,1.104052309
[a16],[male],[bus],[a16]-[male]-[bus],5904,4381.642746,1.34743984
[a25],[female],[walk],[a25]-[female]-[walk],4918,4678.650557,1.051157794
[a35],[male],[bus],[a35]-[male]-[bus],4801,7667.583116,0.626142544
[a16],[female],[car],[a16]-[female]-[car],4722,7505.398687,0.629147124
[a16],[male],[car],[a16]-[male]-[car],4208,8627.872139,0.487721646
[a35],[female],[walk],[a35]-[female]-[walk],4150,4196.98438,0.988805205
[a16],[female],[walk],[a16]-[female]-[walk],3760,2398.368024,1.56773271
[a16],[male],[walk],[a16]-[male]-[walk],3556,2757.057088,1.289781055
[a50],[female],[bus],[a50]-[female]-[bus],3542,3469.35147,1.020940089
[a35],[male],[home],[a35]-[male]-[home],3541,2531.552801,1.398746255
[a35],[male],[walk],[a35]-[male]-[walk],3017,4824.666365,0.625328214
[a25],[male],[home],[a25]-[male]-[home],2659,2822.086014,0.942210828
[a50],[male],[bus],[a50]-[male]-[bus],2464,3988.211971,0.617820722
[a25],[male],[bicycle],[a25]-[male]-[bicycle],2413,1543.122771,1.563712263
[a50],[female],[walk],[a50]-[female]-[walk],2372,2183.016876,1.086569703
[a25],[male],[train],[a25]-[male]-[train],2350,1557.189357,1.509129246
[a35],[female],[home],[a35]-[female]-[home],2264,2202.201512,1.028062141
[a50],[male],[home],[a50]-[male]-[home],2111,1316.760318,1.603177109
[a35],[male],[bicycle],[a35]-[male]-[bicycle],2002,1384.258578,1.446261582
[a25],[female],[home],[a25]-[female]-[home],1683,2454.936782,0.685557368
[a25],[female],[pass],[a25]-[female]-[pass],1572,1567.072217,1.003144579
[a25],[female],[train],[a25]-[female]-[train],1506,1354.601316,1.111766231
[a25],[male],[pass],[a25]-[male]-[pass],1459,1801.436444,0.809909228
[a35],[female],[pass],[a35]-[female]-[pass],1371,1405.742433,0.975285349
[a50],[male],[walk],[a50]-[male]-[walk],1287,2509.498998,0.51285137
[a35],[male],[train],[a35]-[male]-[train],1268,1396.877011,0.907739185
[a16],[female],[pass],[a16]-[female]-[pass],1234,803.3119486,1.536140477
[a16],[male],[pass],[a16]-[male]-[pass],1208,923.4516472,1.308135628
[a50],[female],[home],[a50]-[female]-[home],1196,1145.451741,1.04412954
[a35],[male],[pass],[a35]-[male]-[pass],1123,1615.978908,0.694934813
[a50],[female],[pass],[a50]-[female]-[pass],1088,731.1820053,1.488001608
[a16],[male],[train],[a16]-[male]-[train],1072,798.2458007,1.342944741
[a35],[male],[other],[a35]-[male]-[other],982,625.5137908,1.569909432
[a16],[male],[bicycle],[a16]-[male]-[bicycle],975,791.0349928,1.232562414
[a16],[female],[train],[a16]-[female]-[train],966,694.3951983,1.391138652
[a65],[male],[car],[a65]-[male]-[car],959,860.8573495,1.114005707
[a25],[female],[bicycle],[a25]-[female]-[bicycle],857,1342.364772,0.638425574
[a16],[male],[home],[a16]-[male]-[home],838,1446.656632,0.579266691
[a50],[male],[bicycle],[a50]-[male]-[bicycle],782,720.007406,1.086099939
[a35],[female],[bicycle],[a35]-[female]-[bicycle],687,1204.168576,0.570518126
[a35],[female],[train],[a35]-[female]-[train],662,1215.145371,0.544790785
[a25],[male],[other],[a25]-[male]-[other],648,697.3007714,0.929297696
[a50],[male],[pass],[a50]-[male]-[pass],604,840.5342761,0.718590565
[a65],[female],[car],[a65]-[female]-[car],598,748.8610768,0.798545977
[a16],[female],[home],[a16]-[female]-[home],536,1258.448736,0.425921203
[a50],[male],[other],[a50]-[male]-[other],515,325.3543588,1.582889505
[a35],[female],[other],[a35]-[female]-[other],443,544.1353683,0.814135647
[a65],[female],[bus],[a65]-[female]-[bus],417,380.307178,1.096482065
[a16],[female],[bicycle],[a16]-[female]-[bicycle],406,688.1225058,0.590011221
[a65],[male],[home],[a65]-[male]-[home],380,144.3420781,2.632634954
[a50],[male],[train],[a50]-[male]-[train],378,726.5707504,0.520252157
[a25],[female],[other],[a25]-[female]-[other],333,606.5829686,0.548976838
[a16],[male],[other],[a16]-[male]-[other],325,357.4500494,0.909217947
[a65],[female],[walk],[a65]-[female]-[walk],297,239.3003404,1.241118168
[a65],[male],[bus],[a65]-[male]-[bus],275,437.184198,0.62902548
[a50],[female],[other],[a50]-[female]-[other],253,283.0262361,0.893910061
[a50],[female],[bicycle],[a50]-[female]-[bicycle],252,626.3355034,0.402340277
[a50],[female],[train],[a50]-[female]-[train],248,632.0449664,0.392377146
[a65],[female],[home],[a65]-[female]-[home],240,125.5633864,1.911385213
[a16],[female],[other],[a16]-[female]-[other],232,310.9463247,0.746109478
[a65],[male],[walk],[a65]-[male]-[walk],146,275.0890161,0.530737294
[a65],[female],[pass],[a65]-[female]-[pass],136,80.15151173,1.696786462
[a65],[male],[pass],[a65]-[male]-[pass],66,92.13860899,0.716312095
[a65],[male],[bicycle],[a65]-[male]-[bicycle],54,78.92656223,0.684180312
[a65],[male],[other],[a65]-[male]-[other],48,35.66505126,1.345855349
[a65],[female],[other],[a65]-[female]-[other],38,31.02508065,1.224815511
[a65],[female],[train],[a65]-[female]-[train],38,69.28419897,0.548465604
[a65],[male],[train],[a65]-[male]-[train],36,79.64603012,0.451999929
[a65],[female],[bicycle],[a65]-[female]-[bicycle],19,68.65833279,0.276732615
