,orig,dest,all,male,female,allages,a16,a25,a35,a50,a65,a75,allmodes,home,undergr,train,bus,taxi,bike,car,pass,bicycle,walk,other
924165,E02001958,E02000268,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
924166,E02001958,E02000305,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924168,E02001958,E02000524,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924169,E02001958,E02000604,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924170,E02001958,E02000809,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
924171,E02001958,E02000877,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924172,E02001958,E02000932,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924174,E02001958,E02000977,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
924175,E02001958,E02000979,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
924176,E02001958,E02001202,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924177,E02001958,E02001520,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
924178,E02001958,E02001652,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924179,E02001958,E02001746,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924180,E02001958,E02001797,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924181,E02001958,E02001830,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924182,E02001958,E02001835,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924183,E02001958,E02001836,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924184,E02001958,E02001838,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924187,E02001958,E02001850,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
924190,E02001958,E02001863,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924192,E02001958,E02001867,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924193,E02001958,E02001869,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
924194,E02001958,E02001873,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
