,id,orig,dest,all,male,female,a16,a25,a35,a50,a65,home,train,bus,car,pass,bicycle,walk,other
1,627254,E02001045,E02000186,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,627257,E02001045,E02000559,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,627258,E02001045,E02000586,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4,627260,E02001045,E02000975,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5,627261,E02001045,E02000985,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
6,627264,E02001045,E02000993,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,627266,E02001045,E02000997,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,627270,E02001045,E02001007,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
9,627272,E02001045,E02001013,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
10,627273,E02001045,E02001014,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11,627281,E02001045,E02001028,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
12,627283,E02001045,E02001030,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13,627285,E02001045,E02001033,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14,627324,E02001045,E02001076,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
15,627326,E02001045,E02001078,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16,627328,E02001045,E02001081,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
17,627333,E02001045,E02001087,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
18,627335,E02001045,E02001091,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
19,627344,E02001045,E02001103,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,627345,E02001045,E02001104,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
21,627349,E02001045,E02001108,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
22,627350,E02001045,E02001109,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,627356,E02001045,E02001117,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
24,627359,E02001045,E02001123,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
25,627362,E02001045,E02001126,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
26,627368,E02001045,E02001137,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
27,627372,E02001045,E02001142,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
28,627374,E02001045,E02001144,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
29,627386,E02001045,E02001161,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
30,627387,E02001045,E02001162,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
31,627394,E02001045,E02001170,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
32,627395,E02001045,E02001171,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
33,627401,E02001045,E02001180,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34,627402,E02001045,E02001182,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35,627403,E02001045,E02001183,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
36,627409,E02001045,E02001194,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
37,627411,E02001045,E02001197,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
38,627412,E02001045,E02001198,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
39,627413,E02001045,E02001199,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
40,627421,E02001045,E02001216,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
41,627424,E02001045,E02001226,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
42,627426,E02001045,E02001233,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
