"","orig","dest","all","male","female","allages","a16","a25","a35","a50","a65","a75","allmodes","home","undergr","train","bus","taxi","bike","car","pass","bicycle","walk","other"
"2018225","E02005584","E02000001",4,4,0,4,0,0,3,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0
"2018226","E02005584","E02000109",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2018227","E02005584","E02000119",1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2018228","E02005584","E02000186",2,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
"2018229","E02005584","E02000206",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"2018230","E02005584","E02000316",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2018231","E02005584","E02000331",1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2018232","E02005584","E02000384",2,1,1,2,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
"2018233","E02005584","E02000400",1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2018234","E02005584","E02000509",1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"2018235","E02005584","E02000575",1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"2018236","E02005584","E02000584",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"2018237","E02005584","E02000596",1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"2018238","E02005584","E02000620",1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"2018239","E02005584","E02000695",1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"2018240","E02005584","E02000884",1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
