"","err_types","err_typesperc"
"a16-female-bicycle",1,0.2
"a16-female-bus",76,1
"a16-female-car",0,0
"a16-female-home",-3,-0.6
"a16-female-other",3,1.3
"a16-female-pass",0,0
"a16-female-train",-1,-0.1
"a16-female-walk",29,0.8
"a16-male-bicycle",-1,-0.1
"a16-male-bus",49,0.8
"a16-male-car",-40,-1
"a16-male-home",3,0.4
"a16-male-other",2,0.6
"a16-male-pass",0,0
"a16-male-train",-4,-0.4
"a16-male-walk",-114,-3.2
"a25-female-bicycle",1,0.1
"a25-female-bus",-45,-0.6
"a25-female-car",-124,-0.9
"a25-female-home",8,0.5
"a25-female-other",9,2.7
"a25-female-pass",2,0.1
"a25-female-train",3,0.2
"a25-female-walk",94,1.9
"a25-male-bicycle",-1,0
"a25-male-bus",1,0
"a25-male-car",29,0.2
"a25-male-home",-8,-0.3
"a25-male-other",-3,-0.5
"a25-male-pass",0,0
"a25-male-train",7,0.3
"a25-male-walk",27,0.5
"a35-female-bicycle",0,0
"a35-female-bus",-67,-1.1
"a35-female-car",-35,-0.2
"a35-female-home",-11,-0.5
"a35-female-other",12,2.7
"a35-female-pass",1,0.1
"a35-female-train",0,0
"a35-female-walk",-3,-0.1
"a35-male-bicycle",1,0
"a35-male-bus",6,0.1
"a35-male-car",116,0.6
"a35-male-home",11,0.3
"a35-male-other",-2,-0.2
"a35-male-pass",0,0
"a35-male-train",-5,-0.4
"a35-male-walk",-24,-0.8
"a50-female-bicycle",-1,-0.4
"a50-female-bus",-1,0
"a50-female-car",19,0.3
"a50-female-home",4,0.3
"a50-female-other",6,2.4
"a50-female-pass",1,0.1
"a50-female-train",4,1.6
"a50-female-walk",16,0.7
"a50-male-bicycle",1,0.1
"a50-male-bus",-21,-0.9
"a50-male-car",36,0.3
"a50-male-home",-4,-0.2
"a50-male-other",-25,-4.9
"a50-male-pass",-4,-0.7
"a50-male-train",-5,-1.3
"a50-male-walk",-26,-2
"a65-female-bicycle",0,0
"a65-female-bus",2,0.5
"a65-female-car",-1,-0.2
"a65-female-home",2,0.8
"a65-female-other",-1,-2.6
"a65-female-pass",0,0
"a65-female-train",-1,-2.6
"a65-female-walk",1,0.3
"a65-male-bicycle",-1,-1.9
"a65-male-bus",0,0
"a65-male-car",0,0
"a65-male-home",-2,-0.5
"a65-male-other",-1,-2.1
"a65-male-pass",0,0
"a65-male-train",2,5.6
"a65-male-walk",0,0
